exp_group	sample_name	sample	GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	is_ref	qc_pass
ALC	ALC3_CLONE4	Alc3-c4_dedup	2858674662	24.800183	8.521554	25	4	case	TRUE
ALC	ALC3_CLONE4	ALC3BLOOD_dedup	2858674662	51.835237	14.577583	53	7	ref	TRUE
ALC	ALC3_CLONE32	c110116RALC3CLONE32	2858674662	37.982812	11.566182	39	6	case	TRUE
ALC	ALC3_CLONE32	c110116RALC3BLOOD	2858674662	51.834754	14.579047	53	7	ref	TRUE
ALC	ALC5_CLONE4	c210116RALC5CLONE4	2858674662	41.686569	12.830336	42	6	case	TRUE
ALC	ALC5_CLONE4	c210116RALC5BLOOD	2858674662	40.805274	12.417488	42	6	ref	TRUE
ALC	ALC7_CLONE8	c110216RALC7CLONE8	2858674662	36.417473	11.39052	37	5	case	TRUE
ALC	ALC7_CLONE8	c110216RALC7BLOOD	2858674662	33.743369	10.644154	34	5	ref	TRUE
ALC	ALC8_CLONE4	c150216RALC8CLONE4	2858674662	47.141503	13.872018	48	7	case	TRUE
ALC	ALC8_CLONE4	c150216RALC8BLOOD	2858674662	42.921008	12.905935	44	6	ref	TRUE
ALC	ALC8_CLONE5	c150216RALC8CLONE5	2858674662	38.652334	11.726363	39	5	case	TRUE
ALC	ALC8_CLONE5	c150216RALC8BLOOD	2858674662	42.921008	12.905935	44	6	ref	TRUE
ALC	ALC8_CLONE6	Alc8-c6_dedup	2858674662	33.263018	10.503754	34	5	case	TRUE
ALC	ALC8_CLONE6	ALC8BLOOD_dedup	2858674662	42.921373	12.904683	44	6	ref	TRUE
ALC	ALC9_CLONE1	c250216RALC9CLONE1	2858674662	34.80059	10.326212	35	5	case	TRUE
ALC	ALC9_CLONE1	c250216RALC9BLOOD	2858674662	38.134145	10.960817	38	5	ref	TRUE
ALC	ALC9_CLONE2	Alc9-c2_dedup	2858674662	35.858184	10.391733	36	5	case	TRUE
ALC	ALC9_CLONE2	ALC9BLOOD_dedup	2858674662	38.134142	10.956953	38	5	ref	TRUE
ALC	ALC9_CLONE6	c250216RALC9CLONE6	2858674662	36.007293	10.658106	36	5	case	TRUE
ALC	ALC9_CLONE6	c250216RALC9BLOOD	2858674662	38.134145	10.960817	38	5	ref	TRUE
ALC	ALC9_CLONE8	Alc9-c8_dedup	2858674662	28.41616	8.94595	28	4	case	TRUE
